complaint_id,customer_id,complaint_date,category,title,priority,status
CP000147,C000556,2025-11-14,OTHER,Other issue,MEDIUM,CLOSED
CP000148,C000564,2026-06-08,PLAN,Plan benefits not received,LOW,CLOSED
CP000149,C000148,2026-04-05,NETWORK,Poor network coverage,CRITICAL,RESOLVED
CP000150,C000859,2026-06-30,RECHARGE,Recharge failed,MEDIUM,IN_PROGRESS
CP000151,C000983,2026-03-20,RECHARGE,Recharge issue,HIGH,OPEN
CP000152,C000290,2026-06-04,SIM,SIM replacement request,MEDIUM,IN_PROGRESS
CP000153,C000191,2025-12-11,BILLING,Incorrect bill amount,CRITICAL,CLOSED
CP000154,C000077,2026-04-21,SIM,SIM not working,LOW,RESOLVED
CP000155,C000929,2026-03-04,SIM,SIM not working,LOW,IN_PROGRESS
CP000156,C000230,2026-02-28,NETWORK,Slow internet,MEDIUM,CLOSED
CP000157,C000033,2025-11-14,SIM,SIM activation issue,CRITICAL,OPEN
CP000158,C000243,2026-05-01,OTHER,General complaint,MEDIUM,RESOLVED
CP000159,C000280,2026-01-15,RECHARGE,Recharge issue,LOW,OPEN
CP000160,C000906,2026-03-12,SIM,SIM activation issue,LOW,IN_PROGRESS
CP000161,C000052,2026-01-04,SIM,SIM activation issue,HIGH,CLOSED
CP000162,C000126,2026-04-02,SIM,SIM replacement request,MEDIUM,RESOLVED
CP000163,C000264,2025-12-15,BILLING,Incorrect bill amount,MEDIUM,RESOLVED
CP000164,C000323,2025-11-10,BILLING,Billing issue,HIGH,RESOLVED
CP000165,C000195,2025-10-31,RECHARGE,Recharge amount not reflected,CRITICAL,CLOSED
CP000166,C000170,2026-02-15,OTHER,Other issue,HIGH,CLOSED
CP000167,C000640,2026-01-27,PLAN,Plan benefits not received,CRITICAL,IN_PROGRESS
CP000168,C000964,2026-02-12,BILLING,Unexpected charge,MEDIUM,OPEN
CP000169,C000544,2026-07-31,PLAN,Plan activation issue,LOW,CLOSED
CP000170,C000549,2026-04-15,RECHARGE,Recharge issue,HIGH,IN_PROGRESS
CP000171,C000837,2026-01-02,BILLING,Billing issue,MEDIUM,CLOSED
CP000172,C000300,2025-10-20,BILLING,Billing issue,LOW,OPEN
CP000173,C000789,2025-12-02,BILLING,Billing issue,LOW,IN_PROGRESS
CP000174,C000753,2026-03-10,NETWORK,Network issue,MEDIUM,CLOSED
CP000175,C000063,2026-03-08,BILLING,Billing issue,MEDIUM,OPEN
CP000176,C000391,2026-02-08,RECHARGE,Recharge failed,LOW,OPEN
CP000177,C000686,2026-06-30,NETWORK,Network issue,HIGH,OPEN
CP000178,C000213,2026-07-05,BILLING,Unexpected charge,LOW,OPEN
CP000179,C000963,2026-06-17,OTHER,Other issue,MEDIUM,CLOSED
CP000180,C000802,2025-12-17,RECHARGE,Recharge failed,MEDIUM,CLOSED
CP000181,C000822,2025-09-29,SIM,SIM not working,MEDIUM,CLOSED
CP000182,C000120,2026-07-04,RECHARGE,Recharge failed,HIGH,RESOLVED
CP000183,C000419,2026-07-30,BILLING,Incorrect bill amount,LOW,OPEN
CP000184,C000690,2025-10-03,NETWORK,Slow internet,MEDIUM,OPEN
CP000185,C000519,2026-09-22,SIM,SIM activation issue,MEDIUM,RESOLVED
CP000186,C000095,2026-09-11,SIM,SIM not working,HIGH,OPEN
CP000187,C000775,2026-03-07,NETWORK,Internet not working,CRITICAL,OPEN
CP000188,C000541,2026-05-14,SIM,SIM replacement request,CRITICAL,CLOSED
CP000189,C000400,2026-01-18,RECHARGE,Recharge amount not reflected,HIGH,IN_PROGRESS
CP000190,C000239,2026-08-19,RECHARGE,Recharge issue,MEDIUM,IN_PROGRESS
CP000191,C000604,2026-07-28,RECHARGE,Recharge issue,LOW,IN_PROGRESS
CP000192,C000838,2026-03-17,RECHARGE,Recharge issue,MEDIUM,IN_PROGRESS
CP000193,C000045,2026-03-25,NETWORK,Slow internet,MEDIUM,IN_PROGRESS
CP000194,C000916,2026-07-31,NETWORK,Network issue,MEDIUM,RESOLVED
CP000195,C000094,2026-01-26,NETWORK,Internet not working,MEDIUM,OPEN
CP000196,C000808,2025-12-10,BILLING,Incorrect bill amount,LOW,OPEN
CP000197,C000525,2026-06-20,OTHER,Other issue,HIGH,IN_PROGRESS
CP000198,C000355,2026-09-19,OTHER,Other issue,MEDIUM,IN_PROGRESS
CP000199,C000016,2026-08-05,NETWORK,Poor network coverage,MEDIUM,CLOSED
CP000200,C000280,2026-03-30,RECHARGE,Recharge failed,MEDIUM,IN_PROGRESS
CP000201,C000992,2025-10-28,SIM,SIM not working,CRITICAL,IN_PROGRESS
CP000202,C000516,2026-03-19,PLAN,Plan activation issue,HIGH,IN_PROGRESS
CP000203,C000572,2025-12-08,PLAN,Plan activation issue,HIGH,IN_PROGRESS
CP000204,C000579,2026-04-26,SIM,SIM replacement request,LOW,CLOSED
CP000205,C000007,2026-01-06,NETWORK,Internet not working,CRITICAL,CLOSED
CP000206,C000718,2026-07-20,SIM,SIM not working,HIGH,RESOLVED
CP000207,C000767,2025-12-30,NETWORK,Slow internet,MEDIUM,IN_PROGRESS
CP000208,C000582,2025-12-03,OTHER,Other issue,MEDIUM,OPEN
CP000209,C000242,2025-11-24,BILLING,Unexpected charge,CRITICAL,RESOLVED
CP000210,C000949,2026-02-06,NETWORK,Internet not working,LOW,OPEN
CP000211,C000181,2026-05-11,OTHER,General complaint,HIGH,OPEN
CP000212,C000173,2026-01-24,PLAN,Plan activation issue,CRITICAL,OPEN
CP000213,C000408,2026-05-21,BILLING,Incorrect bill amount,LOW,CLOSED
CP000214,C000228,2026-07-20,OTHER,General complaint,MEDIUM,OPEN
CP000215,C000863,2026-01-23,RECHARGE,Recharge amount not reflected,MEDIUM,IN_PROGRESS
CP000216,C000135,2026-01-03,NETWORK,Poor network coverage,HIGH,RESOLVED
CP000217,C000749,2026-03-16,PLAN,Plan benefits not received,LOW,OPEN
CP000218,C000566,2026-05-07,PLAN,Plan activation issue,CRITICAL,RESOLVED
CP000219,C000645,2026-09-11,NETWORK,Slow internet,MEDIUM,RESOLVED
CP000220,C000195,2026-09-12,PLAN,Plan benefits not received,MEDIUM,IN_PROGRESS
CP000221,C000502,2026-06-21,PLAN,Plan related query,HIGH,OPEN
CP000222,C000346,2025-10-18,OTHER,Other issue,HIGH,RESOLVED
CP000223,C000122,2026-01-20,NETWORK,Slow internet,MEDIUM,CLOSED
CP000224,C000781,2025-09-29,BILLING,Billing issue,HIGH,IN_PROGRESS
CP000225,C000043,2026-07-02,SIM,SIM not working,MEDIUM,CLOSED
CP000226,C000115,2025-11-04,SIM,SIM activation issue,MEDIUM,CLOSED
CP000227,C000268,2025-09-24,NETWORK,Poor network coverage,MEDIUM,CLOSED
CP000228,C000232,2026-01-01,PLAN,Plan activation issue,MEDIUM,IN_PROGRESS
CP000229,C000262,2026-02-23,SIM,SIM not working,HIGH,OPEN
CP000230,C000844,2026-09-19,BILLING,Unexpected charge,MEDIUM,CLOSED
CP000231,C000879,2026-06-21,RECHARGE,Recharge amount not reflected,LOW,OPEN
CP000232,C000639,2026-06-11,PLAN,Plan related query,MEDIUM,IN_PROGRESS
CP000233,C000127,2025-10-20,PLAN,Plan related query,CRITICAL,CLOSED
CP000234,C000345,2026-02-12,NETWORK,Slow internet,HIGH,RESOLVED
CP000235,C000982,2026-02-07,SIM,SIM replacement request,LOW,IN_PROGRESS
CP000236,C000150,2026-04-28,SIM,SIM replacement request,LOW,IN_PROGRESS
CP000237,C000245,2025-12-20,SIM,SIM activation issue,MEDIUM,IN_PROGRESS
CP000238,C000282,2026-07-29,SIM,SIM not working,CRITICAL,CLOSED
CP000239,C000281,2025-12-22,OTHER,General complaint,MEDIUM,RESOLVED
CP000240,C000955,2026-03-14,PLAN,Plan related query,LOW,OPEN
CP000241,C000014,2025-12-08,OTHER,General complaint,HIGH,OPEN
CP000242,C000131,2026-06-19,RECHARGE,Recharge amount not reflected,HIGH,IN_PROGRESS
CP000243,C000916,2026-03-24,BILLING,Unexpected charge,MEDIUM,RESOLVED
CP000244,C000745,2025-11-06,SIM,SIM replacement request,MEDIUM,RESOLVED
CP000245,C000288,2026-04-29,NETWORK,Poor network coverage,MEDIUM,CLOSED
CP000246,C000364,2025-12-07,OTHER,Other issue,CRITICAL,IN_PROGRESS
CP000247,C000470,2025-12-20,SIM,SIM replacement request,HIGH,CLOSED
CP000248,C000644,2026-01-25,RECHARGE,Recharge failed,HIGH,CLOSED
CP000249,C000143,2026-05-08,SIM,SIM replacement request,LOW,IN_PROGRESS
CP000250,C000863,2026-05-10,BILLING,Incorrect bill amount,CRITICAL,CLOSED
CP000251,C000999,2026-09-20,BILLING,Unexpected charge,HIGH,RESOLVED
CP000252,C000626,2026-05-07,RECHARGE,Recharge issue,MEDIUM,IN_PROGRESS
CP000253,C000027,2026-08-10,OTHER,Service related issue,MEDIUM,OPEN
CP000254,C000129,2026-01-03,OTHER,Other issue,LOW,CLOSED
CP000255,C000643,2025-10-09,NETWORK,Internet not working,MEDIUM,IN_PROGRESS
CP000256,C000431,2025-10-20,RECHARGE,Recharge failed,CRITICAL,CLOSED
CP000257,C000439,2026-03-23,SIM,SIM replacement request,MEDIUM,IN_PROGRESS
CP000258,C000780,2026-09-12,RECHARGE,Recharge issue,CRITICAL,RESOLVED
CP000259,C000833,2025-12-02,PLAN,Plan benefits not received,CRITICAL,OPEN
CP000260,C000493,2026-03-27,SIM,SIM replacement request,HIGH,RESOLVED
CP000261,C000112,2025-11-17,BILLING,Unexpected charge,CRITICAL,CLOSED
CP000262,C000265,2025-10-27,OTHER,General complaint,HIGH,CLOSED
CP000263,C000193,2026-01-06,PLAN,Plan benefits not received,CRITICAL,IN_PROGRESS
CP000264,C000560,2026-01-07,PLAN,Plan related query,CRITICAL,OPEN
CP000265,C000968,2025-10-31,BILLING,Billing issue,CRITICAL,IN_PROGRESS
CP000266,C000110,2026-08-18,BILLING,Unexpected charge,MEDIUM,OPEN
CP000267,C000152,2025-12-22,OTHER,Other issue,HIGH,RESOLVED
CP000268,C000004,2026-09-22,NETWORK,Network issue,MEDIUM,IN_PROGRESS
CP000269,C000233,2026-02-21,OTHER,General complaint,CRITICAL,OPEN
CP000270,C000974,2025-10-24,RECHARGE,Recharge issue,LOW,RESOLVED
CP000271,C000849,2026-06-06,SIM,SIM activation issue,MEDIUM,CLOSED
CP000272,C000242,2026-05-17,BILLING,Unexpected charge,MEDIUM,RESOLVED
CP000273,C000281,2025-10-26,SIM,SIM replacement request,CRITICAL,CLOSED
CP000274,C000562,2025-12-27,OTHER,General complaint,HIGH,IN_PROGRESS
CP000275,C000265,2026-04-18,SIM,SIM activation issue,MEDIUM,IN_PROGRESS
CP000276,C000332,2026-01-05,BILLING,Incorrect bill amount,CRITICAL,CLOSED
CP000277,C000251,2025-12-08,NETWORK,Poor network coverage,HIGH,RESOLVED
CP000278,C000709,2026-02-24,NETWORK,Internet not working,MEDIUM,RESOLVED
CP000279,C000355,2026-02-07,BILLING,Incorrect bill amount,MEDIUM,CLOSED
CP000280,C000042,2026-08-03,NETWORK,Poor network coverage,CRITICAL,CLOSED
CP000281,C000134,2026-09-22,BILLING,Incorrect bill amount,LOW,CLOSED
CP000282,C000853,2026-01-17,NETWORK,Internet not working,MEDIUM,RESOLVED
CP000283,C000801,2025-09-23,PLAN,Plan related query,MEDIUM,OPEN
CP000284,C000395,2025-10-26,NETWORK,Poor network coverage,LOW,IN_PROGRESS
CP000285,C000996,2025-11-14,PLAN,Plan related query,MEDIUM,OPEN
CP000286,C000434,2026-01-13,RECHARGE,Recharge issue,MEDIUM,IN_PROGRESS
CP000287,C000134,2026-02-26,BILLING,Incorrect bill amount,LOW,IN_PROGRESS
CP000288,C000260,2026-08-30,PLAN,Plan activation issue,HIGH,IN_PROGRESS
CP000289,C000397,2026-04-10,NETWORK,Network issue,HIGH,OPEN
CP000290,C000757,2026-04-16,RECHARGE,Recharge amount not reflected,LOW,CLOSED
CP000291,C000791,2025-09-28,NETWORK,Network issue,MEDIUM,RESOLVED
CP000292,C000570,2026-05-22,BILLING,Incorrect bill amount,LOW,RESOLVED
CP000293,C000195,2026-02-21,RECHARGE,Recharge issue,MEDIUM,RESOLVED
CP000294,C000272,2025-11-01,BILLING,Incorrect bill amount,HIGH,RESOLVED
CP000295,C000198,2026-03-23,BILLING,Incorrect bill amount,CRITICAL,IN_PROGRESS
CP000296,C000085,2026-07-05,OTHER,General complaint,HIGH,OPEN
CP000297,C000543,2026-08-23,OTHER,General complaint,CRITICAL,RESOLVED
CP000298,C000994,2026-09-03,OTHER,General complaint,MEDIUM,RESOLVED
CP000299,C000540,2025-12-26,SIM,SIM replacement request,LOW,RESOLVED
CP000300,C000248,2026-03-05,NETWORK,Internet not working,HIGH,CLOSED
CP000301,C000243,2026-06-30,PLAN,Plan activation issue,LOW,CLOSED
CP000302,C000604,2026-07-18,RECHARGE,Recharge amount not reflected,MEDIUM,RESOLVED
CP000303,C000276,2026-05-28,NETWORK,Slow internet,CRITICAL,OPEN
CP000304,C000608,2025-12-06,PLAN,Plan activation issue,MEDIUM,IN_PROGRESS
CP000305,C000495,2026-05-29,BILLING,Unexpected charge,LOW,CLOSED
CP000306,C000064,2026-06-08,RECHARGE,Recharge amount not reflected,CRITICAL,RESOLVED
CP000307,C000281,2025-12-07,SIM,SIM replacement request,LOW,CLOSED
CP000308,C000052,2026-08-11,OTHER,Other issue,MEDIUM,IN_PROGRESS
CP000309,C000432,2025-10-14,OTHER,Service related issue,LOW,IN_PROGRESS
CP000310,C000259,2026-01-26,PLAN,Plan benefits not received,MEDIUM,IN_PROGRESS
CP000311,C000812,2025-10-22,RECHARGE,Recharge issue,LOW,CLOSED
CP000312,C000153,2026-09-02,SIM,SIM activation issue,HIGH,OPEN
CP000313,C000289,2025-10-21,BILLING,Unexpected charge,MEDIUM,OPEN
CP000314,C000018,2025-10-02,BILLING,Incorrect bill amount,MEDIUM,RESOLVED
CP000315,C000361,2026-04-07,OTHER,General complaint,LOW,OPEN
CP000316,C000697,2025-12-05,BILLING,Unexpected charge,MEDIUM,OPEN
CP000317,C000832,2026-03-11,BILLING,Unexpected charge,MEDIUM,IN_PROGRESS
CP000318,C000469,2026-06-02,OTHER,Service related issue,CRITICAL,RESOLVED
CP000319,C000315,2025-10-16,SIM,SIM not working,HIGH,IN_PROGRESS
CP000320,C000503,2026-03-01,OTHER,General complaint,CRITICAL,IN_PROGRESS
CP000321,C000448,2025-10-07,BILLING,Unexpected charge,HIGH,IN_PROGRESS
CP000322,C000886,2025-10-20,RECHARGE,Recharge amount not reflected,CRITICAL,CLOSED
CP000323,C000384,2026-01-28,OTHER,Service related issue,LOW,OPEN
CP000324,C000735,2026-05-08,SIM,SIM not working,CRITICAL,OPEN
CP000325,C000861,2025-10-28,OTHER,Other issue,MEDIUM,RESOLVED
CP000326,C000503,2026-07-18,PLAN,Plan benefits not received,MEDIUM,OPEN
CP000327,C000163,2026-08-30,PLAN,Plan activation issue,HIGH,CLOSED
CP000328,C000161,2025-10-09,SIM,SIM replacement request,HIGH,CLOSED
CP000329,C000394,2026-01-02,RECHARGE,Recharge failed,MEDIUM,OPEN
CP000330,C000912,2026-04-22,NETWORK,Slow internet,HIGH,RESOLVED
CP000331,C000046,2026-09-21,BILLING,Incorrect bill amount,HIGH,RESOLVED
CP000332,C000001,2026-02-01,SIM,SIM activation issue,LOW,IN_PROGRESS
CP000333,C000541,2026-03-07,BILLING,Unexpected charge,MEDIUM,CLOSED
CP000334,C000041,2026-02-17,PLAN,Plan benefits not received,LOW,CLOSED
CP000335,C000097,2026-08-17,RECHARGE,Recharge failed,CRITICAL,CLOSED
